,Datetime,Region,Technology,Emission,Value
295,2060,reg1,Bio_oil_supply,CO2,0.0
296,2061,reg1,Bio_oil_supply,CO2,0.0
297,2062,reg1,Bio_oil_supply,CO2,0.0
298,2063,reg1,Bio_oil_supply,CO2,0.0
299,2064,reg1,Bio_oil_supply,CO2,0.0
300,2065,reg1,Bio_oil_supply,CO2,0.0
301,2066,reg1,Bio_oil_supply,CO2,0.0
302,2067,reg1,Bio_oil_supply,CO2,0.0
303,2068,reg1,Bio_oil_supply,CO2,0.0
304,2069,reg1,Bio_oil_supply,CO2,0.0
305,2070,reg1,Bio_oil_supply,CO2,0.0
306,2020,reg1,Geo_PP,CO2,2417210.4000000004
307,2021,reg1,Geo_PP,CO2,2445582.7199999974
308,2022,reg1,Geo_PP,CO2,2602882.2
309,2023,reg1,Geo_PP,CO2,2502327.3600000003
310,2024,reg1,Geo_PP,CO2,2530699.6799999983
311,2025,reg1,Geo_PP,CO2,2559071.9999999986
312,2026,reg1,Geo_PP,CO2,2575761.6000000006
313,2027,reg1,Geo_PP,CO2,2592451.1999999993
314,2028,reg1,Geo_PP,CO2,2609140.7999999993
315,2029,reg1,Geo_PP,CO2,2625830.3999999994
316,2030,reg1,Geo_PP,CO2,2642520.0
317,2031,reg1,Geo_PP,CO2,2642519.9999999995
318,2032,reg1,Geo_PP,CO2,2642519.9999999995
319,2033,reg1,Geo_PP,CO2,2642520.0
320,2034,reg1,Geo_PP,CO2,2642520.0
321,2035,reg1,Geo_PP,CO2,2642520.0
322,2036,reg1,Geo_PP,CO2,2642520.0
323,2037,reg1,Geo_PP,CO2,2642520.0
324,2038,reg1,Geo_PP,CO2,2642520.0
325,2039,reg1,Geo_PP,CO2,2642520.0000000005
326,2040,reg1,Geo_PP,CO2,2642520.0
327,2041,reg1,Geo_PP,CO2,2642519.9999999995
328,2042,reg1,Geo_PP,CO2,2642519.9999999995
329,2043,reg1,Geo_PP,CO2,2642519.9999999995
330,2044,reg1,Geo_PP,CO2,2642519.9999999995
331,2045,reg1,Geo_PP,CO2,2642519.9999999995
332,2046,reg1,Geo_PP,CO2,2642519.9999999995
333,2047,reg1,Geo_PP,CO2,2642519.9999999995
334,2048,reg1,Geo_PP,CO2,2642519.9999999995
335,2049,reg1,Geo_PP,CO2,2642519.9999999995
336,2050,reg1,Geo_PP,CO2,2642519.9999999995
337,2051,reg1,Geo_PP,CO2,2642520.0000000005
338,2052,reg1,Geo_PP,CO2,2642520.0000000005
339,2053,reg1,Geo_PP,CO2,2642520.0000000005
340,2054,reg1,Geo_PP,CO2,2642520.0000000005
341,2055,reg1,Geo_PP,CO2,2642520.000000001
342,2056,reg1,Geo_PP,CO2,2642520.0000000005
343,2057,reg1,Geo_PP,CO2,2642520.0
344,2058,reg1,Geo_PP,CO2,2642520.000000001
345,2059,reg1,Geo_PP,CO2,2642520.000000001
346,2060,reg1,Geo_PP,CO2,2642520.0000000005
347,2061,reg1,Geo_PP,CO2,2642520.0000000005
348,2062,reg1,Geo_PP,CO2,2642520.0000000005
349,2063,reg1,Geo_PP,CO2,2642520.0000000005
350,2064,reg1,Geo_PP,CO2,2642520.0000000005
351,2065,reg1,Geo_PP,CO2,2642520.0
352,2066,reg1,Geo_PP,CO2,2642520.0
353,2067,reg1,Geo_PP,CO2,2642520.0
354,2068,reg1,Geo_PP,CO2,2642520.0
355,2069,reg1,Geo_PP,CO2,2642520.0
356,2070,reg1,Geo_PP,CO2,2642520.0000000005
357,2020,reg1,Solar_PV_PP,CO2,0.0
358,2021,reg1,Solar_PV_PP,CO2,0.0
359,2022,reg1,Solar_PV_PP,CO2,0.0
360,2023,reg1,Solar_PV_PP,CO2,0.0
361,2024,reg1,Solar_PV_PP,CO2,0.0
362,2025,reg1,Solar_PV_PP,CO2,0.0
363,2026,reg1,Solar_PV_PP,CO2,0.0
364,2027,reg1,Solar_PV_PP,CO2,0.0
365,2028,reg1,Solar_PV_PP,CO2,0.0
366,2029,reg1,Solar_PV_PP,CO2,0.0
367,2030,reg1,Solar_PV_PP,CO2,0.0
368,2031,reg1,Solar_PV_PP,CO2,0.0
369,2032,reg1,Solar_PV_PP,CO2,0.0
370,2033,reg1,Solar_PV_PP,CO2,0.0
371,2034,reg1,Solar_PV_PP,CO2,0.0
372,2035,reg1,Solar_PV_PP,CO2,0.0
373,2036,reg1,Solar_PV_PP,CO2,0.0
374,2037,reg1,Solar_PV_PP,CO2,0.0
375,2038,reg1,Solar_PV_PP,CO2,0.0
376,2039,reg1,Solar_PV_PP,CO2,0.0
377,2040,reg1,Solar_PV_PP,CO2,0.0
378,2041,reg1,Solar_PV_PP,CO2,0.0
379,2042,reg1,Solar_PV_PP,CO2,0.0
380,2043,reg1,Solar_PV_PP,CO2,0.0
381,2044,reg1,Solar_PV_PP,CO2,0.0
382,2045,reg1,Solar_PV_PP,CO2,0.0
383,2046,reg1,Solar_PV_PP,CO2,0.0
384,2047,reg1,Solar_PV_PP,CO2,0.0
385,2048,reg1,Solar_PV_PP,CO2,0.0
386,2049,reg1,Solar_PV_PP,CO2,0.0
387,2050,reg1,Solar_PV_PP,CO2,0.0
388,2051,reg1,Solar_PV_PP,CO2,0.0
389,2052,reg1,Solar_PV_PP,CO2,0.0
390,2053,reg1,Solar_PV_PP,CO2,0.0
391,2054,reg1,Solar_PV_PP,CO2,0.0
392,2055,reg1,Solar_PV_PP,CO2,0.0
393,2056,reg1,Solar_PV_PP,CO2,0.0
394,2057,reg1,Solar_PV_PP,CO2,0.0
395,2058,reg1,Solar_PV_PP,CO2,0.0
396,2059,reg1,Solar_PV_PP,CO2,0.0
397,2060,reg1,Solar_PV_PP,CO2,0.0
398,2061,reg1,Solar_PV_PP,CO2,0.0
399,2062,reg1,Solar_PV_PP,CO2,0.0
400,2063,reg1,Solar_PV_PP,CO2,0.0
401,2064,reg1,Solar_PV_PP,CO2,0.0
402,2065,reg1,Solar_PV_PP,CO2,0.0
403,2066,reg1,Solar_PV_PP,CO2,0.0
404,2067,reg1,Solar_PV_PP,CO2,0.0
405,2068,reg1,Solar_PV_PP,CO2,0.0
406,2069,reg1,Solar_PV_PP,CO2,0.0
407,2070,reg1,Solar_PV_PP,CO2,0.0
408,2020,reg1,Wind_PP,CO2,0.0
409,2021,reg1,Wind_PP,CO2,0.0
410,2022,reg1,Wind_PP,CO2,0.0
411,2023,reg1,Wind_PP,CO2,0.0
412,2024,reg1,Wind_PP,CO2,0.0
413,2025,reg1,Wind_PP,CO2,0.0
414,2026,reg1,Wind_PP,CO2,0.0
415,2027,reg1,Wind_PP,CO2,0.0
416,2028,reg1,Wind_PP,CO2,0.0
417,2029,reg1,Wind_PP,CO2,0.0
418,2030,reg1,Wind_PP,CO2,0.0
419,2031,reg1,Wind_PP,CO2,0.0
420,2032,reg1,Wind_PP,CO2,0.0
421,2033,reg1,Wind_PP,CO2,0.0
422,2034,reg1,Wind_PP,CO2,0.0
423,2035,reg1,Wind_PP,CO2,0.0
424,2036,reg1,Wind_PP,CO2,0.0
425,2037,reg1,Wind_PP,CO2,0.0
426,2038,reg1,Wind_PP,CO2,0.0
427,2039,reg1,Wind_PP,CO2,0.0
428,2040,reg1,Wind_PP,CO2,0.0
429,2041,reg1,Wind_PP,CO2,0.0
430,2042,reg1,Wind_PP,CO2,0.0
431,2043,reg1,Wind_PP,CO2,0.0
432,2044,reg1,Wind_PP,CO2,0.0
433,2045,reg1,Wind_PP,CO2,0.0
434,2046,reg1,Wind_PP,CO2,0.0
435,2047,reg1,Wind_PP,CO2,0.0
436,2048,reg1,Wind_PP,CO2,0.0
437,2049,reg1,Wind_PP,CO2,0.0
438,2050,reg1,Wind_PP,CO2,0.0
439,2051,reg1,Wind_PP,CO2,0.0
440,2052,reg1,Wind_PP,CO2,0.0
441,2053,reg1,Wind_PP,CO2,0.0
442,2054,reg1,Wind_PP,CO2,0.0
443,2055,reg1,Wind_PP,CO2,0.0
444,2056,reg1,Wind_PP,CO2,0.0
445,2057,reg1,Wind_PP,CO2,0.0
446,2058,reg1,Wind_PP,CO2,0.0
447,2059,reg1,Wind_PP,CO2,0.0
448,2060,reg1,Wind_PP,CO2,0.0
449,2061,reg1,Wind_PP,CO2,0.0
450,2062,reg1,Wind_PP,CO2,0.0
451,2063,reg1,Wind_PP,CO2,0.0
452,2064,reg1,Wind_PP,CO2,0.0
453,2065,reg1,Wind_PP,CO2,0.0
454,2066,reg1,Wind_PP,CO2,0.0
455,2067,reg1,Wind_PP,CO2,0.0
456,2068,reg1,Wind_PP,CO2,0.0
457,2069,reg1,Wind_PP,CO2,0.0
458,2070,reg1,Wind_PP,CO2,0.0
459,2020,reg1,Hydro_PP,CO2,0.0
460,2021,reg1,Hydro_PP,CO2,0.0
461,2022,reg1,Hydro_PP,CO2,0.0
462,2023,reg1,Hydro_PP,CO2,0.0
463,2024,reg1,Hydro_PP,CO2,0.0
464,2025,reg1,Hydro_PP,CO2,0.0
465,2026,reg1,Hydro_PP,CO2,0.0
466,2027,reg1,Hydro_PP,CO2,0.0
467,2028,reg1,Hydro_PP,CO2,0.0
468,2029,reg1,Hydro_PP,CO2,0.0
469,2030,reg1,Hydro_PP,CO2,0.0
470,2031,reg1,Hydro_PP,CO2,0.0
471,2032,reg1,Hydro_PP,CO2,0.0
472,2033,reg1,Hydro_PP,CO2,0.0
473,2034,reg1,Hydro_PP,CO2,0.0
474,2035,reg1,Hydro_PP,CO2,0.0
475,2036,reg1,Hydro_PP,CO2,0.0
476,2037,reg1,Hydro_PP,CO2,0.0
477,2038,reg1,Hydro_PP,CO2,0.0
478,2039,reg1,Hydro_PP,CO2,0.0
479,2040,reg1,Hydro_PP,CO2,0.0
480,2041,reg1,Hydro_PP,CO2,0.0
481,2042,reg1,Hydro_PP,CO2,0.0
482,2043,reg1,Hydro_PP,CO2,0.0
483,2044,reg1,Hydro_PP,CO2,0.0
484,2045,reg1,Hydro_PP,CO2,0.0
485,2046,reg1,Hydro_PP,CO2,0.0
486,2047,reg1,Hydro_PP,CO2,0.0
487,2048,reg1,Hydro_PP,CO2,0.0
488,2049,reg1,Hydro_PP,CO2,0.0
489,2050,reg1,Hydro_PP,CO2,0.0
490,2051,reg1,Hydro_PP,CO2,0.0
491,2052,reg1,Hydro_PP,CO2,0.0
492,2053,reg1,Hydro_PP,CO2,0.0
493,2054,reg1,Hydro_PP,CO2,0.0
494,2055,reg1,Hydro_PP,CO2,0.0
495,2056,reg1,Hydro_PP,CO2,0.0
496,2057,reg1,Hydro_PP,CO2,0.0
497,2058,reg1,Hydro_PP,CO2,0.0
498,2059,reg1,Hydro_PP,CO2,0.0
499,2060,reg1,Hydro_PP,CO2,0.0
500,2061,reg1,Hydro_PP,CO2,0.0
501,2062,reg1,Hydro_PP,CO2,0.0
502,2063,reg1,Hydro_PP,CO2,0.0
503,2064,reg1,Hydro_PP,CO2,0.0
504,2065,reg1,Hydro_PP,CO2,0.0
505,2066,reg1,Hydro_PP,CO2,0.0
506,2067,reg1,Hydro_PP,CO2,0.0
507,2068,reg1,Hydro_PP,CO2,0.0
508,2069,reg1,Hydro_PP,CO2,0.0
509,2070,reg1,Hydro_PP,CO2,0.0
510,2020,reg1,Pump_hydro_PP,CO2,0.0
511,2021,reg1,Pump_hydro_PP,CO2,0.0
512,2022,reg1,Pump_hydro_PP,CO2,0.0
513,2023,reg1,Pump_hydro_PP,CO2,0.0
514,2024,reg1,Pump_hydro_PP,CO2,0.0
515,2025,reg1,Pump_hydro_PP,CO2,0.0
516,2026,reg1,Pump_hydro_PP,CO2,0.0
517,2027,reg1,Pump_hydro_PP,CO2,0.0
518,2028,reg1,Pump_hydro_PP,CO2,0.0
519,2029,reg1,Pump_hydro_PP,CO2,0.0
520,2030,reg1,Pump_hydro_PP,CO2,0.0
521,2031,reg1,Pump_hydro_PP,CO2,0.0
522,2032,reg1,Pump_hydro_PP,CO2,0.0
523,2033,reg1,Pump_hydro_PP,CO2,0.0
524,2034,reg1,Pump_hydro_PP,CO2,0.0
525,2035,reg1,Pump_hydro_PP,CO2,0.0
526,2036,reg1,Pump_hydro_PP,CO2,0.0
527,2037,reg1,Pump_hydro_PP,CO2,0.0
528,2038,reg1,Pump_hydro_PP,CO2,0.0
529,2039,reg1,Pump_hydro_PP,CO2,0.0
530,2040,reg1,Pump_hydro_PP,CO2,0.0
531,2041,reg1,Pump_hydro_PP,CO2,0.0
